,country,a2,a3,num,dia	
74,	
,	
,	
,	
,	
75,	
,	
,	
,	
,	
76,	
,	
,	
,	
,	
77,	
,	
,	
,	
,	
78,	
,	
,	TF
,	
,	
79,	
,	
,	B
,	
,	
80,	
,	
,	
,	
,	
81,	
,	
,	
,	
,	
82,	
,	
,	
,	
,	
83,	
,	
,	
,	
,	
84,	
,	
,	
,	
,	
85,	
,	
,	
,	
,	
86,	
,	
,	
,	
,	
87,	
,	
,	
,	
,	
88,	
,	
,	
,	
,	
89,	
,	
,	
,	
,	
90,	
,	
,	
,	
,	
91,	
,	
,	
,	
,	
92,	
,	
,	
,	
,	
93,	
,	
,	
,	
,	
94,	
,	
,	
,	
,	
95,	
,	
,	
,	
,	
96,	
,	
,	
,	
,	
97,	
,	
,	T
,	
,	
98,	
,	
,	
,	
,	
99,	
,	
,	
,	
,	
100,	
,	
,	
,	
,	
101,	
,	
,	
,	
,	
102,	
,	
,	
,	
,	
103,	
,	
,	
,	
,	
104,	
,	
,	
,	
,	
105,	
,	
,	
,	
,	
106,	
,	
,	
,	
,	
107,	
,	
,	
,	
,	
108,	
,	
,	
,	
,	
109,	
,	
,	
,	
,	
110,	
,	
,	M
,	
,	
111,	
,	
,	
,	
,	
112,	
,	
,	
,	
,	
113,	
,	
,	
,	
,	
114,	
,	
,	Z
,	
,	
115,	
,	
,	
,	
,	
116,	
,	
,	
,	
,	
117,	
,	
,	
,	
,	
118,	
,	
,	
,	
,	
119,	
,	
,	
,	
,	
120,	
,	
,	
,	
,	
121,	
,	
,	O
,	
,	
122,	
,	
,	
,	
,	
123,	
,	
,	
,	
,	
124,	
,	
,	
,	
,	
125,	
,	
,	
,	
,	
126,	
,	
,	
,	
,	
127,	
,	
,	
,	
,	
128,	
,	
,	
,	
,	
129,	
,	
,	
,	
,	
130,	
,	
,	C
,	
,	
131,	
,	
,	
,	
,	
132,	
,	
,	
,	
,	
133,	
,	
,	
,	
,	
134,	
,	
,	
,	
,	
135,	
,	
,	
,	
,	
136,	
,	
,	
,	
,	
137,	
,	
,	
,	
,	
138,	
,	
,	
,	
,	
139,	
,	
,	
,	
,	
140,	
,	
,	
,	
,	
141,	
,	
,	
,	
,	
142,	
,	
,	
,	
,	
143,	
,	
,	
,	
,	
144,	
,	
,	
,	
,	
145,	
,	
,	
,	
,	
146,	
,	
,	
,	
,	
147,	
,	
,	
,	
,	
148,	
,	
,	
,	
,	
149,	
,	
,	
,	
,	
150,	
,	
,	R
,	
,	
151,	
,	
,	
,	
,	
152,	
,	
,	
,	
,	
153,	
,	
,	M
,	
,	
154,	
,	
,	
,	
,	
155,	
,	
,	
,	
,	
156,	
,	
,	
,	
,	
157,	
,	
,	
,	
,	
158,	
,	
,	
,	
,	
159,	
,	
,	
,	
,	
160,	
,	
,	
,	
,	
161,	
,	
,	
,	
,	
162,	
,	
,	
,	
,	
163,	
,	
,	
,	
,	
164,	
,	
,	
,	
,	
165,	
,	
,	
,	
,	
166,	
,	
,	
,	
,	
167,	
,	
,	K
,	
,	
168,	
,	
,	
,	
,	
169,	
,	
,	
,	
,	
170,	
,	
,	N
,	
,	
171,	
,	
,	
,	
,	
172,	
,	
,	
,	
,	
173,	
,	
,	
,	
,	
174,	
,	
,	
,	
,	
175,	
,	
,	
,	
,	
176,	
,	
,	
,	
,	
177,	
,	
,	
,	
,	
178,	
,	
,	
,	
,	
179,	
,	
,	T
,	
,	
180,	
,	
,	
,	
,	
181,	
,	
,	
,	
,	
182,	
,	
,	
,	
,	
183,	
,	
,	
,	
,	
184,	
,	
,	
,	
,	
185,	
,	
,	
,	
,	
186,	
,	
,	
,	
,	
187,	
,	
,	
,	
,	
188,	
,	
,	F
,	
,	
189,	
,	
,	
,	
,	
190,	
,	
,	
,	
,	
191,	
,	
,	
,	
,	
192,	
,	
,	
,	
,	
193,	
,	
,	
,	
,	
194,	rabia
,	
,	U
,	
,	
195,	
,	
,	
,	
,	
196,	
,	
,	
,	
,	
197,	
,	
,	
,	
,	
198,	
,	
,	
,	
,	
199,	
,	
,	
,	
,	
200,	
,	
,	
,	
,	
201,	
,	
,	
,	
,	
202,	
,	
,	
,	
,	
203,	
,	
,	
,	
,	
204,	
,	
,	
,	
,	
205,	frica
,	
,	F
,	
,	
206,	
,	
,	
,	
,	
207,	
,	
,	
,	
,	
208,	
,	
,	
,	
,	
209,	
,	
,	
,	
,	
210,	
,	
,	
,	
,	
211,	
,	
,	
,	
,	
212,	
,	
,	
,	
,	
213,	
,	
,	
,	
,	
214,	
,	
,	
,	
,	
215,	
,	
,	
,	
,	
216,	rab Republic
,	
,	
,	
,	
217,	
,	
,	
,	
,	
218,	
,	
,	
,	
,	
219,	
,	
,	
,	
,	
220,	
,	
,	
,	
,	
221,	
,	
,	
,	
,	
222,	
,	
,	
,	
,	
223,	
,	
,	
,	
,	
224,	
,	
,	
,	
,	
225,	
,	
,	
,	
,	
226,	
,	
,	
,	
,	
227,	
,	
,	
,	
,	
228,	
,	
,	
,	
,	
229,	
,	
,	
,	
,	
230,	
,	
,	
,	
,	
231,	
,	
,	
,	
,	
232,	
,	
,	
,	
,	
233,	rab Emirates
,	E
,	RE
,	
,	
234,	
,	
,	
,	
,	
235,	
,	
,	
,	
,	
236,	
,	
,	
,	
,	
237,	
,	
,	
,	
,	
238,	
,	
,	
,	
,	
239,	
,	
,	
,	
,	
240,	
,	
,	
,	
,	
241,	
,	
,	
,	
,	
242,	
,	
,	
,	
,	
243,	
,	
,	
,	
,	
244,	
,	
,	
,	
,	
245,	
,	
,	
,	
,	
246,	
,	
,	
,	
,	
247,	
,	
,	
,	
,	
248,	
,	
,	
,	
,	
249,	land Islands
,	X
,	L
,	
,	
